,average_height,date,BTC_fees,USD_fees
0,775280,2023-02-06 13:11:36,0.109,2484
1,775290,2023-02-06 14:52:56,0.159,3649
2,775305,2023-02-06 17:23:49,0.165,3794
3,775323,2023-02-06 19:36:58,0.147,3395
4,775341,2023-02-06 22:16:35,0.123,2832
5,775357,2023-02-07 00:26:03,0.134,3073
6,775370,2023-02-07 03:26:20,0.21,4795
7,775384,2023-02-07 05:40:01,0.154,3525
8,775398,2023-02-07 08:14:07,0.109,2491
9,775411,2023-02-07 10:27:16,0.159,3644
10,775422,2023-02-07 13:13:18,0.195,4481
11,775436,2023-02-07 16:05:25,0.166,3824
12,775453,2023-02-07 18:17:55,0.182,4176
13,775468,2023-02-07 20:41:47,0.17,3893
14,775486,2023-02-07 23:25:51,0.115,2661
15,775503,2023-02-08 01:41:09,0.147,3422
16,775515,2023-02-08 04:30:20,0.114,2658
17,775525,2023-02-08 06:48:32,0.163,3789
18,775536,2023-02-08 09:09:12,0.114,2650
19,775555,2023-02-08 11:44:52,0.104,2407
20,775575,2023-02-08 14:17:37,0.107,2470
21,775590,2023-02-08 16:54:20,0.174,4005
22,775604,2023-02-08 19:28:09,0.151,3476
23,775622,2023-02-08 21:51:48,0.131,3007
24,775638,2023-02-09 00:47:24,0.178,4080
25,775651,2023-02-09 02:54:49,0.151,3464
26,775664,2023-02-09 05:10:02,0.128,2883
27,775680,2023-02-09 07:45:10,0.146,3309
28,775697,2023-02-09 10:05:49,0.134,3037
29,775715,2023-02-09 12:44:20,0.101,2285
30,775733,2023-02-09 15:23:58,0.117,2665
31,775751,2023-02-09 17:50:02,0.124,2796
32,775768,2023-02-09 20:10:28,0.145,3273
33,775782,2023-02-09 22:35:32,0.171,3770
34,775800,2023-02-10 01:17:48,0.127,2767
35,775820,2023-02-10 03:28:38,0.113,2469
36,775835,2023-02-10 06:15:57,0.124,2697
37,775850,2023-02-10 08:32:18,0.103,2249
38,775864,2023-02-10 11:01:39,0.116,2524
39,775876,2023-02-10 13:46:36,0.207,4493
40,775890,2023-02-10 16:11:56,0.222,4857
41,775905,2023-02-10 18:58:23,0.249,5377
42,775918,2023-02-10 21:03:36,0.295,6429
43,775933,2023-02-10 23:49:22,0.246,5303
44,775952,2023-02-11 02:00:57,0.201,4382
45,775968,2023-02-11 04:36:42,0.166,3593
46,775980,2023-02-11 07:18:43,0.172,3738
47,775997,2023-02-11 09:41:37,0.112,2439
48,776016,2023-02-11 12:12:47,0.134,2904
49,776032,2023-02-11 14:57:10,0.127,2749
50,776046,2023-02-11 17:05:45,0.17,3691
51,776064,2023-02-11 19:48:42,0.159,3452
52,776082,2023-02-11 22:16:49,0.142,3079
53,776095,2023-02-12 00:18:26,0.16,3496
54,776109,2023-02-12 03:21:09,0.177,3852
55,776127,2023-02-12 05:40:38,0.093,2023
56,776147,2023-02-12 08:07:14,0.083,1819
57,776165,2023-02-12 10:50:38,0.11,2406
58,776178,2023-02-12 13:23:41,0.15,3292
59,776192,2023-02-12 15:38:54,0.114,2492
60,776208,2023-02-12 17:58:29,0.158,3477
61,776222,2023-02-12 20:59:07,0.15,3307
62,776241,2023-02-12 23:04:35,0.092,1994
63,776261,2023-02-13 01:34:32,0.106,2310
64,776276,2023-02-13 03:57:42,0.092,2010
65,776289,2023-02-13 06:52:38,0.184,4009
66,776304,2023-02-13 09:16:37,0.122,2668
67,776323,2023-02-13 11:44:18,0.122,2630
68,776340,2023-02-13 14:25:05,0.187,4057
69,776354,2023-02-13 16:48:50,0.178,3869
70,776371,2023-02-13 19:22:26,0.204,4376
71,776389,2023-02-13 21:48:54,0.184,3986
72,776406,2023-02-14 00:21:14,0.169,3653
73,776425,2023-02-14 02:39:17,0.103,2270
74,776445,2023-02-14 05:03:31,0.129,2804
75,776459,2023-02-14 07:38:26,0.161,3507
76,776472,2023-02-14 10:42:11,0.164,3550
77,776489,2023-02-14 13:05:46,0.145,3162
78,776508,2023-02-14 15:10:40,0.145,3145
79,776524,2023-02-14 17:54:26,0.23,5058
80,776538,2023-02-14 20:07:23,0.226,4995
81,776555,2023-02-14 22:34:58,0.195,4345
82,776571,2023-02-15 01:13:43,0.24,5326
83,776582,2023-02-15 03:58:14,0.319,7045
84,776597,2023-02-15 06:08:09,0.215,4740
85,776615,2023-02-15 08:52:07,0.21,4640
86,776632,2023-02-15 10:59:51,0.162,3585
87,776653,2023-02-15 13:38:26,0.173,3893
88,776670,2023-02-15 16:05:44,0.223,5072
89,776682,2023-02-15 18:53:03,0.282,6422
90,776699,2023-02-15 21:23:34,0.212,4937
91,776720,2023-02-15 23:43:02,0.237,5727
92,776739,2023-02-16 02:21:21,0.207,4999
93,776755,2023-02-16 04:29:04,0.176,4341
94,776773,2023-02-16 06:59:50,0.139,3422
95,776793,2023-02-16 09:48:18,0.15,3680
96,776813,2023-02-16 12:19:25,0.128,3155
97,776835,2023-02-16 14:56:31,0.142,3486
98,776858,2023-02-16 17:27:04,0.157,3937
99,776877,2023-02-16 19:36:13,0.241,5987
100,776890,2023-02-16 22:33:24,0.313,7695
101,776905,2023-02-17 00:47:18,0.21,5031
102,776925,2023-02-17 03:10:24,0.158,3770
103,776945,2023-02-17 05:33:49,0.125,2988
104,776958,2023-02-17 08:23:31,0.187,4423
105,776971,2023-02-17 11:06:23,0.14,3322
106,776988,2023-02-17 13:33:27,0.17,4044
107,777006,2023-02-17 15:32:34,0.133,3160
108,777024,2023-02-17 18:10:38,0.206,4961
109,777037,2023-02-17 20:40:31,0.244,5947
110,777054,2023-02-17 23:06:30,0.168,4104
111,777076,2023-02-18 01:43:56,0.134,3294
112,777095,2023-02-18 04:16:44,0.122,2993
113,777113,2023-02-18 06:52:59,0.092,2266
114,777132,2023-02-18 09:07:55,0.102,2510
115,777151,2023-02-18 11:47:11,0.097,2379
116,777167,2023-02-18 14:29:36,0.132,3245
117,777183,2023-02-18 16:51:43,0.114,2806
118,777200,2023-02-18 19:27:00,0.155,3834
119,777218,2023-02-18 21:30:48,0.129,3166
120,777235,2023-02-18 23:51:47,0.129,3176
121,777252,2023-02-19 02:37:14,0.083,2030
122,777271,2023-02-19 05:19:01,0.091,2233
123,777288,2023-02-19 07:36:46,0.088,2173
124,777306,2023-02-19 10:20:41,0.073,1795
125,777328,2023-02-19 12:31:25,0.065,1593
126,777343,2023-02-19 15:21:42,0.136,3362
127,777356,2023-02-19 17:39:53,0.138,3443
128,777373,2023-02-19 20:20:30,0.102,2497
129,777388,2023-02-19 23:09:34,0.158,3879
130,777403,2023-02-20 00:59:36,0.086,2100
131,777419,2023-02-20 04:01:11,0.117,2861
132,777436,2023-02-20 06:16:20,0.08,1952
133,777453,2023-02-20 08:33:48,0.098,2400
134,777470,2023-02-20 11:18:30,0.097,2409
135,777487,2023-02-20 13:37:51,0.094,2333
136,777501,2023-02-20 16:16:40,0.17,4235
137,777512,2023-02-20 18:27:07,0.182,4535
138,777527,2023-02-20 20:52:14,0.143,3557
139,777544,2023-02-20 23:39:02,0.153,3795
140,777560,2023-02-21 02:13:25,0.104,2548
141,777577,2023-02-21 04:37:46,0.062,1537
142,777594,2023-02-21 07:27:01,0.121,3024
143,777609,2023-02-21 09:57:40,0.096,2398
144,777624,2023-02-21 12:13:09,0.122,3016
145,777640,2023-02-21 15:10:25,0.11,2719
146,777659,2023-02-21 16:57:28,0.113,2768
147,777683,2023-02-21 19:53:22,0.086,2114
148,777703,2023-02-21 22:32:40,0.143,3489
149,777717,2023-02-22 00:59:34,0.116,2840
150,777732,2023-02-22 03:25:24,0.095,2295
151,777749,2023-02-22 05:52:15,0.092,2233
152,777762,2023-02-22 08:24:00,0.119,2857
153,777772,2023-02-22 11:02:46,0.201,4824
154,777785,2023-02-22 13:13:59,0.134,3229
155,777800,2023-02-22 15:52:28,0.125,3020
156,777815,2023-02-22 18:19:25,0.177,4179
157,777829,2023-02-22 20:29:03,0.143,3404
158,777844,2023-02-22 23:29:03,0.159,3784
159,777862,2023-02-23 01:46:57,0.083,2003
160,777882,2023-02-23 04:25:07,0.085,2083
161,777900,2023-02-23 06:56:42,0.081,1978
162,777921,2023-02-23 09:31:38,0.072,1745
163,777939,2023-02-23 12:02:50,0.136,3302
164,777952,2023-02-23 14:24:58,0.175,4189
165,777970,2023-02-23 17:00:32,0.121,2902
166,777988,2023-02-23 19:17:08,0.151,3601
167,778006,2023-02-23 21:55:13,0.112,2683
168,778023,2023-02-24 00:39:43,0.144,3446
169,778038,2023-02-24 02:19:04,0.086,2004
170,778052,2023-02-24 05:31:59,0.158,3790
171,778067,2023-02-24 07:38:06,0.072,1714
172,778083,2023-02-24 09:57:11,0.097,2323
173,778097,2023-02-24 12:44:30,0.137,3267
174,778111,2023-02-24 15:16:44,0.119,2833
175,778127,2023-02-24 17:38:13,0.143,3338
176,778139,2023-02-24 20:26:37,0.222,5132
177,778152,2023-02-24 22:38:06,0.19,4405
178,778166,2023-02-25 01:17:35,0.182,4223
179,778178,2023-02-25 03:41:54,0.133,3093
180,778191,2023-02-25 06:27:24,0.119,2742
181,778202,2023-02-25 08:37:07,0.121,2802
182,778212,2023-02-25 11:11:47,0.15,3454
183,778220,2023-02-25 13:45:54,0.168,3870
184,778229,2023-02-25 16:29:38,0.186,4287
185,778244,2023-02-25 18:44:55,0.109,2512
186,778259,2023-02-25 21:50:02,0.218,5005
187,778267,2023-02-25 23:13:36,0.151,3473
188,778279,2023-02-26 02:18:04,0.156,3615
189,778296,2023-02-26 05:04:28,0.073,1702
190,778311,2023-02-26 07:08:32,0.127,2948
191,778324,2023-02-26 10:02:21,0.087,2007
192,778339,2023-02-26 12:14:54,0.105,2426
193,778356,2023-02-26 14:43:39,0.072,1661
194,778375,2023-02-26 17:14:23,0.107,2475
195,778396,2023-02-26 19:42:48,0.069,1596
196,778420,2023-02-26 22:11:01,0.098,2281
197,778437,2023-02-27 00:49:55,0.099,2326
198,778454,2023-02-27 03:17:02,0.074,1749
199,778472,2023-02-27 05:30:10,0.058,1377
200,778485,2023-02-27 08:22:15,0.15,3533
201,778496,2023-02-27 11:01:15,0.154,3620
202,778508,2023-02-27 13:16:46,0.157,3682
203,778518,2023-02-27 16:03:17,0.244,5715
204,778530,2023-02-27 18:17:50,0.239,5685
205,778545,2023-02-27 20:29:52,0.234,5464
206,778563,2023-02-27 23:13:09,0.207,4827
207,778582,2023-02-28 01:36:29,0.148,3449
208,778597,2023-02-28 04:29:18,0.147,3439
209,778611,2023-02-28 06:41:19,0.13,3049
210,778627,2023-02-28 09:13:21,0.112,2628
211,778643,2023-02-28 11:58:03,0.17,3947
212,778658,2023-02-28 14:13:18,0.153,3579
213,778671,2023-02-28 16:56:53,0.287,6732
214,778684,2023-02-28 19:18:25,0.246,5776
215,778700,2023-02-28 21:35:11,0.246,5770
216,778712,2023-03-01 00:29:02,0.292,6790
217,778725,2023-03-01 02:44:40,0.202,4685
218,778741,2023-03-01 05:09:44,0.134,3107
219,778758,2023-03-01 07:33:25,0.137,3223
220,778775,2023-03-01 10:04:58,0.144,3420
221,778791,2023-03-01 12:58:20,0.171,4063
222,778808,2023-03-01 15:20:56,0.178,4216
223,778828,2023-03-01 17:45:44,0.134,3165
224,778848,2023-03-01 20:21:06,0.17,4036
225,778867,2023-03-01 22:43:15,0.13,3079
226,778886,2023-03-02 01:14:19,0.135,3176
227,778904,2023-03-02 03:39:46,0.108,2553
228,778920,2023-03-02 06:20:43,0.105,2468
229,778933,2023-03-02 08:42:21,0.155,3638
230,778946,2023-03-02 11:07:02,0.152,3555
231,778966,2023-03-02 13:50:40,0.101,2352
232,778983,2023-03-02 15:57:47,0.193,4527
233,778995,2023-03-02 18:47:56,0.261,6081
234,779008,2023-03-02 21:01:56,0.249,5792
235,779022,2023-03-02 23:46:15,0.247,5808
236,779040,2023-03-03 02:27:15,0.175,4112
237,779058,2023-03-03 04:52:16,0.144,3225
238,779073,2023-03-03 07:05:08,0.138,3096
239,779087,2023-03-03 09:26:44,0.149,3341
240,779102,2023-03-03 12:07:37,0.18,4032
241,779117,2023-03-03 14:34:11,0.191,4280
242,779132,2023-03-03 17:22:52,0.249,5585
243,779151,2023-03-03 19:37:25,0.169,3781
244,779170,2023-03-03 22:16:28,0.181,4056
245,779191,2023-03-04 00:49:36,0.122,2720
246,779209,2023-03-04 02:59:41,0.172,3842
247,779222,2023-03-04 05:42:52,0.141,3150
248,779237,2023-03-04 08:08:20,0.14,3130
249,779251,2023-03-04 10:52:37,0.135,3018
250,779267,2023-03-04 13:10:12,0.11,2467
251,779284,2023-03-04 15:37:50,0.138,3079
252,779302,2023-03-04 18:25:20,0.126,2818
253,779321,2023-03-04 20:52:35,0.133,2980
254,779338,2023-03-04 23:29:22,0.129,2875
255,779355,2023-03-05 01:51:02,0.128,2846
256,779371,2023-03-05 04:14:05,0.091,2043
257,779386,2023-03-05 06:47:29,0.1,2250
258,779400,2023-03-05 09:14:33,0.089,2005
259,779420,2023-03-05 11:54:41,0.085,1908
260,779438,2023-03-05 13:50:52,0.098,2186
261,779449,2023-03-05 16:22:38,0.192,4320
262,779464,2023-03-05 19:11:11,0.151,3394
263,779482,2023-03-05 21:49:24,0.129,2884
264,779501,2023-03-06 00:04:18,0.102,2278
265,779517,2023-03-06 02:56:39,0.128,2874
266,779527,2023-03-06 05:11:30,0.142,3182
267,779540,2023-03-06 07:27:54,0.11,2460
268,779558,2023-03-06 10:31:42,0.094,2118
269,779571,2023-03-06 11:58:13,0.103,2320
